year	month	day	NEE	GPP	Reco	LHF
2019	9	16	2.51704	0.27021	2.78725	1.58523
2019	9	17	2.89849	0.14587	3.04435	1.50414
2019	9	18	1.87727	0.09915	1.97641	1.58259
2019	9	19	1.78216	0.12667	1.90883	1.18208
2019	9	20	1.76329	0.18063	1.94392	1.14209
2019	9	21	1.80084	0.17888	1.97971	1.04273
2019	9	23	2.02171	0.05345	2.07515	0.4152
2019	9	24	1.99494	0.18666	2.1816	0.79662
2019	9	25	1.91989	0.18855	2.10844	0.8402
2019	9	26	1.92463	0.13204	2.05666	0.82145
2019	9	27	1.99502	0.19085	2.18588	1.00655
2019	9	29	2.12255	0.11243	2.23499	1.14995
2019	9	30	2.08415	0.1187	2.20285	1.25249
2019	10	1	1.92198	0.15695	2.07893	0.94224
2019	10	2	1.93662	0.09821	2.03483	1.08417
2019	10	3	1.3936	0.10775	1.50135	1.53038
2019	10	4	1.59707	0.16646	1.76353	1.34506
2019	10	5	1.51534	0.13096	1.64631	0.74956
2019	10	6	1.29471	0.10862	1.40333	1.47376
2019	10	7	1.19955	0.11354	1.31309	1.02767
2019	10	8	1.51708	0.11611	1.63319	1.17657
2019	10	9	1.57885	0.15392	1.73277	1.13543
2019	10	10	1.23599	0.20339	1.43937	0.46478
2019	10	11	1.53977	0.06891	1.60868	1.14622
2019	10	16	1.46555	0.04551	1.51106	0.34251
2019	10	20	1.25731	0.06127	1.31858	0.72276
2019	10	21	1.29403	0.05457	1.3486	0.74036
2019	10	28	1.25716	0.16473	1.42189	0.42137
2019	10	29	1.04491	0.20411	1.24901	0.26629
2019	11	1	0.94006	0.33378	1.27384	0.40799
2019	11	2	1.14067	0.18895	1.32962	0.29929
2019	11	3	1.23767	0.30123	1.5389	0.21409
2019	11	6	0.73164	0.65049	1.38214	0.32694
2019	11	7	0.77669	0.57314	1.34982	0.15829
2019	11	8	1.14394	0.36259	1.50652	0.19184
2019	11	9	1.0371	0.33751	1.37462	0.09489
2019	11	12	1.05091	0.38849	1.4394	0.00047
2019	11	13	0.98813	0.59635	1.58447	0.24934
2019	11	26	0.59468	1.21815	1.81283	0.13527
2019	11	27	1.01145	0.84026	1.85171	0.01004
2019	12	17	0.01522	1.52687	1.5421	0.22943
2019	12	18	-0.21269	1.70146	1.48877	0.27093
2020	1	9	0.55098	0.55552	1.10649	0.04271
2020	1	10	0.11556	0.8066	0.92216	0.07876
2020	1	30	-0.05468	0.96306	0.90838	0.37532
2020	2	2	0.2552	1.3254	1.58061	0.83651
2020	2	6	-0.10714	1.14241	1.03528	0.52249
2020	2	7	-0.45287	1.47536	1.02249	0.4526
2020	2	8	-0.61892	1.47826	0.85934	1.02205
2020	2	9	-0.50127	1.35797	0.8567	0.72974
2020	2	10	-0.00043	1.15289	1.15246	0.50792
2020	2	11	-0.75934	1.83335	1.07402	1.07612
2020	2	12	-0.25903	1.30984	1.05081	0.75918
2020	2	13	-0.9259	1.92915	1.00325	0.74834
2020	2	14	-0.11293	1.22388	1.11094	0.49476
2020	2	15	-1.15966	2.23763	1.07798	0.77431
2020	2	18	-0.0848	1.43059	1.34579	0.65246
2020	2	19	0.19616	1.01364	1.2098	0.37109
2020	2	20	-0.31883	1.53054	1.21171	0.91262
2020	2	21	-0.00981	1.21553	1.20572	0.79772
2020	2	22	-0.53187	1.76543	1.23357	0.9153
2020	2	23	0.19078	1.30565	1.49642	0.68612
2020	2	24	-0.46032	1.9946	1.53428	1.17458
2020	2	25	-0.8719	2.36277	1.49087	1.12624
2020	2	26	0.38168	1.07114	1.45282	0.34197
2020	2	27	-0.57737	2.01601	1.43864	1.10244
2020	2	28	-0.38325	1.80234	1.41908	0.65226
2020	2	29	-0.67417	2.26756	1.59339	1.10577
2020	3	1	-0.37043	2.18565	1.81522	0.80789
2020	3	2	-1.01636	3.06226	2.0459	1.41094
2020	3	3	0.10917	1.89386	2.00304	0.17828
2020	3	4	-1.01372	2.7915	1.77777	0.69775
2020	3	5	-1.63651	3.46365	1.82715	1.46006
2020	3	6	0.538	1.19852	1.73652	0.01301
2020	3	7	-1.61934	3.44011	1.82077	1.17003
2020	3	8	-1.9544	3.70042	1.74603	1.30813
2020	3	10	-2.31277	4.13216	1.81938	2.01222
2020	3	11	-0.28971	2.50281	2.21311	0.80187
2020	3	12	-2.99305	5.1479	2.15485	2.33706
2020	3	14	-3.79057	5.47898	1.68842	1.96502
2020	3	15	-3.42737	5.25716	1.82981	2.41083
2020	3	16	-3.31722	5.16172	1.84446	1.99059
2020	3	17	-2.84845	5.09381	2.24536	2.62687
